gov,name,name_clean,position,date_start,date_end,ministry
Schallenberg,"Mag. Alexander Schallenberg, LL.M.",Alexander Schallenberg,Bundeskanzler,2021-10-11,2021-10-12,Bundeskanzleramt
Schallenberg,Mag. Werner Kogler,Werner Kogler,Vizekanzler,2021-10-11,2021-10-12,Bundeskanzleramt
Schallenberg,Mag. Karoline Edtstadler,Karoline Edtstadler,Bundesminister,2021-10-11,2021-10-12,Bundeskanzleramt
Schallenberg,MMag. Dr. Susanne Raab,Susanne Raab,Bundesminister,2021-10-11,2021-10-12,Bundeskanzleramt
Schallenberg,Mag. Werner Kogler,Werner Kogler,Bundesminister,2021-10-11,2021-10-12,"Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport"
Schallenberg,Mag. Andrea Mayer,Andrea Mayer,Staatssekretärin,2021-10-11,2021-10-12,"Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport"
Schallenberg,Dr. Michael Linhart,Michael Linhart,Bundesminister,2021-10-11,2021-10-12,Bundesministerium für europäische und internationale Angelegenheiten
Schallenberg,Mag. Dr. Martin Kocher,Martin Kocher,Bundesminister,2021-10-11,2021-10-12,Bundesministerium für Arbeit
Schallenberg,Dr. Heinz Faßmann,Heinz Faßmann,Bundesminister,2021-10-11,2021-10-12,"Bundesministerium für Bildung, Wissenschaft und Forschung"
Schallenberg,Dr. Margarete Schramböck,Margarete Schramböck,Bundesminister,2021-10-11,2021-10-12,Bundesministerium für Digitalisierung und Wirtschaftsstandort
Schallenberg,"Mag. Gernot Blümel, MBA",Gernot Blümel,Bundesminister,2021-10-11,2021-10-12,Bundesministerium für Finanzen
Schallenberg,"Karl Nehammer, MSc",Karl Nehammer,Bundesminister,2021-10-11,2021-10-12,Bundesministerium für Inneres
Schallenberg,"Dr. Alma Zadić, LL.M.",Alma Zadić,Bundesminister,2021-10-11,2021-10-12,Bundesministerium für Justiz
Schallenberg,"Leonore Gewessler, BA",Leonore Gewessler,Bundesminister,2021-10-11,2021-10-12,"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie"
Schallenberg,"Dr. Magnus Brunner, LL.M.",Magnus Brunner,Staatssekretär,2021-10-11,2021-10-12,"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie"
Schallenberg,Mag. Klaudia Tanner,Klaudia Tanner,Bundesminister,2021-10-11,2021-10-12,Bundesministerium für Landesverteidigung
Schallenberg,Elisabeth Köstinger,Elisabeth Köstinger,Bundesminister,2021-10-11,2021-10-12,"Bundesministerium für Landwirtschaft, Regionen und Tourismus"
Schallenberg,Dr. Wolfgang Mückstein,Wolfgang Mückstein,Bundesminister,2021-10-11,2021-10-12,"Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz"
Kurz II,Sebastian Kurz,Sebastian Kurz,Bundeskanzler,2020-01-07,2021-10-11,Bundeskanzleramt
Kurz II,Mag. Werner Kogler,Werner Kogler,Vizekanzler,2020-01-07,2021-10-11,Bundeskanzleramt
Kurz II,Mag. (FH) Christine Aschbacher,Christine Aschbacher,Bundesministerin,2020-01-08,2020-01-29,Bundeskanzleramt
Kurz II,Mag. Karoline Edtstadler,Karoline Edtstadler,Bundesministerin,2020-01-08,2020-01-29,Bundeskanzleramt
Kurz II,MMag. Dr. Susanne Raab,Susanne Raab,Bundesministerin,2020-01-08,2020-01-29,Bundeskanzleramt
Kurz II,Mag. Karoline Edtstadler,Karoline Edtstadler,Bundesministerin für EU und Verfassung,2020-01-29,2021-10-11,Bundeskanzleramt
Kurz II,MMag. Dr. Susanne Raab,Susanne Raab,"Bundesministerin für Frauen, Familie, Jugend und Integration",2021-02-02,2021-10-11,Bundeskanzleramt
Kurz II,MMag. Dr. Susanne Raab,Susanne Raab,Bundesministerin für Frauen und Integration,2020-01-29,2021-02-01,Bundeskanzleramt
Kurz II,Mag. (FH) Christine Aschbacher,Christine Aschbacher,Bundesministerin ohne Portefeuille,2020-01-07,2020-01-08,Bundeskanzleramt
Kurz II,Mag. Karoline Edtstadler,Karoline Edtstadler,Bundesministerin ohne Portefeuille,2020-01-07,2020-01-08,Bundeskanzleramt
Kurz II,MMag. Dr. Susanne Raab,Susanne Raab,Bundesministerin ohne Portefeuille,2020-01-07,2020-01-08,Bundeskanzleramt
Kurz II,Mag. Karoline Edtstadler,Karoline Edtstadler,Betraut mit der Vertretung der Bundesministerin,2021-06-15,2021-09-07,"Büro der Bundesministerin für Frauen, Familie, Jugend und Integration"
Kurz II,Mag. Werner Kogler,Werner Kogler,Bundesminister,2020-01-29,2021-10-11,"Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport"
Kurz II,Mag. Andrea Mayer,Andrea Mayer,Staatssekretärin,2020-05-20,2021-10-11,"Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport"
Kurz II,Mag. Ulrike Lunacek,Ulrike Lunacek,Staatssekretärin,2020-01-29,2020-05-20,"Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport"
Kurz II,"Mag. Alexander Schallenberg, LL.M.",Alexander Schallenberg,Bundesminister,2020-01-29,2021-10-11,Bundesministerium für europäische und internationale Angelegenheiten
Kurz II,Mag. Dr. Martin Kocher,Martin Kocher,Bundesminister,2021-02-01,2021-10-11,Bundesministerium für Arbeit
Kurz II,Dr. Heinz Faßmann,Heinz Faßmann,Bundesminister,2020-01-07,2021-10-11,"Bundesministerium für Bildung, Wissenschaft und Forschung"
